source,target,ricciCurvature,group,weight,low,bfcsecond
1,14,0.3124999999999999,0,1.0,0.16666666666666663,0.08333333333333333
1,15,0.3168103448275863,0,1.0,0.14367816091954033,0.06302021403091558
1,16,0.2784090909090905,0,1.0,-0.022727272727272596,0.0798611111111111
1,17,0.2857142857142859,0,1.0,0.011904761904761973,0.078125
1,18,0.33035714285714357,0,1.0,0.07738095238095222,0.0663265306122449
1,24,0.32211538461538514,0,1.0,0.2948717948717947,0.07396449704142012
1,25,0.31521739130434845,0,1.0,0.07246376811594213,0.08159722222222222
1,26,0.2784090909090906,0,1.0,-0.1515151515151515,0.0798611111111111
1,27,0.3461538461538467,0,1.0,0.0576923076923076,0.07396449704142012
1,28,0.310185185185186,0,1.0,-0.1064814814814814,0.06995884773662552
1,29,0.299242424242424,0,1.0,0.10606060606060608,0.0798611111111111
1,34,-0.20032051282051255,1,1.0,-1.7211538461538463,0.07396449704142012
1,42,-0.12689393939393923,1,1.0,-1.4393939393939394,0.0798611111111111
1,49,-0.15476190476190377,1,1.0,-1.392857142857143,0.06377551020408163
2,4,0.30434782608695676,0,1.0,-0.13272311212814647,0.07939508506616257
2,5,0.3834782608695657,0,1.0,0.5130434782608696,0.0768
2,6,0.3782608695652181,0,1.0,0.38956521739130434,0.0768
2,8,0.34015345268542185,0,1.0,0.24552429667519182,0.07561436672967864
2,9,0.39130434782608636,0,1.0,0.3354037267080745,0.0831758034026465
2,10,0.4347826086956522,0,1.0,0.5217391304347826,0.08695652173913043
2,13,0.3834782608695656,0,1.0,0.38956521739130434,0.0768
2,14,0.39583333333333415,0,1.0,0.32608695652173925,0.08159722222222222
2,15,0.35382308845577315,0,1.0,0.40479760119940045,0.06183115338882283
2,17,0.34782608695652106,0,1.0,0.06625258799171851,0.0831758034026465
2,18,0.31521739130434767,0,1.0,0.22670807453416153,0.06505102040816327
2,19,0.3027375201288245,0,1.0,0.27697262479871176,0.06858710562414266
2,20,0.35832083958021077,0,1.0,0.40479760119940045,0.06183115338882283
2,21,0.32608695652173925,0,1.0,0.0,0.08695652173913043
